station_code,monitoring_location,state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,nitrate_minmissing,nitrate_maxmissing,fecal_coliform_minmissing,fecal_coliform_maxmissing,total_coliform_minmissing,total_coliform_maxmissing
1001,RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,0.7412763113750152,24.0,2.174751721484161,2.322387720290225,1.1327348211905697,1.1691339637561873,4.23410650459726,5.942799375126701,0.5265890341390445,0.8480123479654416,0.24500815840403262,0.5684157216294061,1.0986122886681096,5.14166355650266,4.1588830833596715,6.293419278846481,0,0,0,0,0,0
2601,RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,0.7412763113750152,13.0,2.151762203259462,2.302585092994046,1.1035676640041991,1.1657332267208378,4.07753744390572,4.912654885736052,0.5265890341390445,0.8480123479654416,0.24500815840403262,0.7199410131973133,4.709530201312334,7.3783837129967145,6.825460036255307,7.3783837129967145,0,0,0,0,0,0
4444,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,0.7412763113750152,13.0,2.174751721484161,2.2823823856765264,1.1122588588360713,1.1552294313292908,4.143134726391533,4.736198448394496,0.5265890341390445,0.8480123479654416,0.24500815840403262,0.5494891973496256,4.709530201312334,7.3783837129967145,5.860786223465865,7.3783837129967145,0,0,0,0,0,0
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,0.7412763113750152,14.0,2.186051276738094,2.2925347571405443,1.0945622142291738,1.1622831138840004,3.970291913552122,4.927253685157205,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.6971182456337971,3.1354942159291497,4.709530201312334,4.382026634673881,6.293419278846481,0,0,0,0,0,0
3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,0.7412763113750152,13.0,2.174751721484161,2.312535423847214,1.1247482629090362,1.1552294313292908,3.9512437185814275,4.736198448394496,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.517622597565066,3.1780538303479458,4.795790545596741,4.709530201312334,6.066108090103747,0,0,0,0,0,0
2602,"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,0.9591348389208239,16.0,2.151762203259462,2.272125885509337,1.1122588588360713,1.1552294313292908,3.8066624897703196,4.859812404361672,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.495826021792124,3.912023005428146,5.3981627015177525,5.484796933490655,6.825460036255307,0,0,0,0,0,0
4445,RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,0.9591348389208239,16.0,2.151762203259462,2.2407096892759584,1.1079512931919122,1.1516230654638673,4.304065093204169,5.14166355650266,0.5265890341390445,0.6706517679334237,0.24500815840403262,0.514585231521089,3.8712010109078907,5.017279836814924,5.638354669333745,6.825460036255307,0,0,0,0,0,0
1002,RIVER BEAS D/S KULLU,HIMACHAL PRADESH,0.9591348389208239,16.0,2.1400661634962708,2.2407096892759584,1.1327348211905697,1.1622831138840004,4.356708826689592,4.976733742420574,0.5265890341390445,0.6706517679334237,0.24500815840403262,0.8306139552230922,4.709530201312334,6.293419278846481,6.293419278846481,7.3783837129967145,0,0,0,0,0,0
1003,RIVER BEAS D/S AUT,HIMACHAL PRADESH,1.026672031199051,16.0,2.1400661634962708,2.2082744135228043,1.1327348211905697,1.1691339637561873,4.127134385045092,4.867534450455582,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.4516993398289211,3.5553480614894135,5.638354669333745,5.14166355650266,7.3783837129967145,0,0,0,0,0,0
1004,RIVER BEAS AT PANDOH DAM,HIMACHAL PRADESH,1.1947055233182953,26.0,2.2300144001592104,2.302585092994046,1.128774165230374,1.1724865954782526,4.189654742026425,5.327876168789581,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.5438963003854362,3.1354942159291497,4.382026634673881,4.2626798770413155,6.066108090103747,0,0,0,0,0,0
2603,"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,1.1622831138840004,26.0,2.1972245773362196,2.33214389523559,1.128774165230374,1.1691339637561873,4.127134385045092,5.313205979041787,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.5684157216294061,3.7376696182833684,4.709530201312334,5.351858133476067,6.825460036255307,0,0,0,0,0,0
1005,RIVER BEAS AT EXIT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,1.223156202527103,28.0,2.2082744135228043,2.312535423847214,1.120655136649004,1.1657332267208378,4.574710978503383,5.638354669333745,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.511523004085192,2.8903717578961645,4.553876891600541,4.1588830833596715,5.860786223465865,0,0,0,0,0,0
1550,"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,1.0804178182729878,25.0,2.174751721484161,2.322387720290225,1.1327348211905697,1.1622831138840004,4.394449154672439,5.25227342804663,0.5265890341390445,0.5265890341390445,0.24500815840403262,0.5206354564565525,3.1780538303479458,4.553876891600541,4.795790545596741,6.066108090103747,0,0,0,0,0,0
1006,RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,1.1622831138840004,25.0,2.2300144001592104,2.312535423847214,1.1247482629090362,1.1622831138840004,4.442651256490317,5.2574953720277815,0.5265890341390445,0.5265890341390445,0.34508479244888995,1.0439975663344805,3.7376696182833684,5.638354669333745,5.3981627015177525,7.3783837129967145,0,0,0,0,0,0
