state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,fecal_streptococci_min,fecal_streptococci_max,temp_range,temp_avg,do_range,do_avg,ph_range,ph_avg,conductivity_range,conductivity_avg,bod_range,bod_avg,nitrate_range,nitrate_avg,fecal_coliform_range,fecal_coliform_avg,total_coliform_range,total_coliform_avg,wqi_category
31.0,8.0,20.0,8.1,9.2,7.4,8.2,158.0,264.0,1.0,1.0,0.73,2.87,2.0,68.0,170.0,5400.0,2.0,2.0,12.0,14.0,1.0999999999999996,8.649999999999999,0.7999999999999989,7.8,106.0,211.0,0.0,1.0,2.14,1.8,66.0,35.0,5230.0,2785.0,Good
31.0,15.0,22.0,6.7,9.2,7.2,8.2,107.0,386.0,1.0,1.0,1.08,3.27,2.0,110.0,40.0,5400.0,2.0,2.0,7.0,18.5,2.499999999999999,7.949999999999999,0.9999999999999991,7.699999999999999,279.0,246.5,0.0,1.0,2.19,2.175,108.0,56.0,5360.0,2720.0,Poor
31.0,15.0,28.0,7.7,9.0,6.9,8.8,241.0,964.0,1.0,4.8,0.32,2.59,2.0,5.0,17.0,170.0,2.0,2.0,13.0,21.5,1.2999999999999998,8.35,1.9000000000000004,7.8500000000000005,723.0,602.5,3.8,2.9,2.27,1.4549999999999998,3.0,3.5,153.0,93.5,Poor
31.0,14.9,28.0,7.6,8.8,7.0,8.2,229.0,545.0,1.0,3.6,0.32,3.12,2.0,5.0,17.0,220.0,2.0,2.0,13.1,21.45,1.200000000000001,8.2,1.1999999999999993,7.6,316.0,387.0,2.6,2.3,2.8000000000000003,1.72,3.0,3.5,203.0,118.5,Poor
31.0,15.6,27.0,6.7,8.9,7.4,8.3,241.0,3040.0,1.0,2.8,0.3,1.17,2.0,8.0,17.0,170.0,2.0,2.0,11.4,21.3,2.2,7.800000000000001,0.9000000000000004,7.8500000000000005,2799.0,1640.5,1.7999999999999998,1.9,0.8699999999999999,0.735,6.0,5.0,153.0,93.5,Poor
31.0,15.5,28.0,7.8,8.9,7.2,8.4,216.0,397.0,1.0,3.4,0.32,1.16,2.0,8.0,21.0,140.0,2.0,2.0,12.5,21.75,1.1000000000000005,8.35,1.2000000000000002,7.800000000000001,181.0,306.5,2.4,2.2,0.8399999999999999,0.74,6.0,5.0,119.0,80.5,Poor
31.0,3.0,15.0,7.8,8.7,6.8,8.2,53.0,137.0,1.0,1.0,0.32,0.96,47.0,140.0,220.0,920.0,2.0,2.0,12.0,9.0,0.8999999999999995,8.25,1.3999999999999995,7.5,84.0,95.0,0.0,1.0,0.6399999999999999,0.64,93.0,93.5,700.0,570.0,Poor
31.0,4.0,16.0,7.5,8.5,7.0,8.1,56.0,281.0,1.0,1.0,0.32,0.84,58.0,140.0,280.0,920.0,2.0,2.0,12.0,10.0,1.0,8.0,1.0999999999999996,7.55,225.0,168.5,0.0,1.0,0.52,0.58,82.0,99.0,640.0,600.0,Poor
31.0,17.5,27.0,7.2,10.0,8.1,8.6,174.0,230.0,1.0,2.0,0.37,2.57,11.0,3800.0,46.0,17000.0,2.0,5.0,9.5,22.25,2.8,8.6,0.5,8.35,56.0,202.0,1.0,1.5,2.1999999999999997,1.47,3789.0,1905.5,16954.0,8523.0,Poor
68.0,18.0,28.0,5.8,10.7,8.0,8.4,201.0,226.0,1.0,1.1,0.4,2.17,110.0,22000.0,270.0,92000.0,7.0,1400.0,10.0,23.0,4.8999999999999995,8.25,0.40000000000000036,8.2,25.0,213.5,0.10000000000000009,1.05,1.77,1.285,21890.0,11055.0,91730.0,46135.0,Poor
68.0,13.0,33.0,6.7,10.1,7.4,8.2,178.0,244.0,1.0,1.2,0.7,1.2,18.0,46.0,70.0,150.0,3.4,11.0,20.0,23.0,3.3999999999999995,8.4,0.7999999999999989,7.8,66.0,211.0,0.19999999999999996,1.1,0.5,0.95,28.0,32.0,80.0,110.0,Good
68.0,11.0,34.0,7.7,9.1,7.7,8.3,198.0,359.0,1.0,1.2,0.4,1.11,27.0,93.0,110.0,240.0,4.2,19.2,23.0,22.5,1.3999999999999995,8.4,0.6000000000000005,8.0,161.0,278.5,0.19999999999999996,1.1,0.7100000000000001,0.7550000000000001,66.0,60.0,130.0,175.0,Good
68.0,11.0,34.0,7.7,9.1,7.5,8.3,204.0,395.0,1.0,1.3,0.6,0.9,26.0,78.0,94.0,170.0,5.8,31.4,23.0,22.5,1.3999999999999995,8.4,0.8000000000000007,7.9,191.0,299.5,0.30000000000000004,1.15,0.30000000000000004,0.75,52.0,52.0,76.0,132.0,Good
68.0,11.0,34.0,7.4,8.9,7.5,8.3,218.0,295.0,1.0,1.2,0.5,1.1,31.0,140.0,120.0,330.0,2.0,2.0,23.0,22.5,1.5,8.15,0.8000000000000007,7.9,77.0,256.5,0.19999999999999996,1.1,0.6000000000000001,0.8,109.0,85.5,210.0,225.0,Poor
68.0,15.0,27.0,7.0,9.1,7.6,8.2,203.0,275.0,1.0,1.3,0.7,1.4,27.0,140.0,110.0,340.0,2.0,2.0,12.0,21.0,2.0999999999999996,8.05,0.5999999999999996,7.8999999999999995,72.0,239.0,0.30000000000000004,1.15,0.7,1.0499999999999998,113.0,83.5,230.0,225.0,Poor
68.0,14.0,28.0,8.0,9.2,7.5,8.2,191.0,245.0,1.0,1.2,0.4,1.05,68.0,140.0,220.0,330.0,2.0,2.0,14.0,21.0,1.1999999999999993,8.6,0.6999999999999993,7.85,54.0,218.0,0.19999999999999996,1.1,0.65,0.7250000000000001,72.0,104.0,110.0,275.0,Poor
68.0,14.0,28.0,8.1,9.1,7.7,8.2,201.0,256.0,1.0,1.2,0.6,1.31,120.0,210.0,280.0,400.0,6.0,8.4,14.0,21.0,1.0,8.6,0.4999999999999991,7.949999999999999,55.0,228.5,0.19999999999999996,1.1,0.7100000000000001,0.9550000000000001,90.0,165.0,120.0,340.0,Poor
68.0,16.0,28.0,6.9,9.4,7.8,8.2,190.0,276.0,1.0,1.4,0.5,0.97,63.0,170.0,220.0,380.0,6.0,8.4,12.0,22.0,2.5,8.15,0.39999999999999947,8.0,86.0,233.0,0.3999999999999999,1.2,0.47,0.735,107.0,116.5,160.0,300.0,Poor
68.0,14.0,28.0,7.9,8.9,7.8,8.1,203.0,264.0,1.0,1.3,0.5,1.1,93.0,170.0,260.0,380.0,6.0,8.4,14.0,21.0,1.0,8.4,0.2999999999999998,7.949999999999999,61.0,233.5,0.30000000000000004,1.15,0.6000000000000001,0.8,77.0,131.5,120.0,320.0,Poor
68.0,16.0,27.0,6.5,9.2,7.7,8.2,192.0,288.0,1.0,1.3,0.6,1.0,33.0,170.0,140.0,350.0,2.0,2.0,11.0,21.5,2.6999999999999993,7.85,0.4999999999999991,7.949999999999999,96.0,240.0,0.30000000000000004,1.15,0.4,0.8,137.0,101.5,210.0,245.0,Poor
68.0,26.0,27.0,7.9,8.8,7.9,8.1,211.0,240.0,1.0,1.2,0.7,0.97,84.0,130.0,260.0,280.0,2.4,4.4,1.0,26.5,0.9000000000000004,8.350000000000001,0.1999999999999993,8.0,29.0,225.5,0.19999999999999996,1.1,0.27,0.835,46.0,107.0,20.0,270.0,Poor
68.0,26.0,27.0,7.9,9.0,7.9,8.1,208.0,239.0,1.0,1.1,0.7,0.93,70.0,110.0,220.0,370.0,2.0,2.0,1.0,26.5,1.0999999999999996,8.45,0.1999999999999993,8.0,31.0,223.5,0.10000000000000009,1.05,0.2300000000000001,0.815,40.0,90.0,150.0,295.0,Poor
